,0_WRIST_x,0_WRIST_y,0_THUMB_CMC_x,0_THUMB_CMC_y,0_THUMB_MCP_x,0_THUMB_MCP_y,0_THUMB_IP_x,0_THUMB_IP_y,0_THUMB_TIP_x,0_THUMB_TIP_y,0_INDEX_FINGER_MCP_x,0_INDEX_FINGER_MCP_y,0_INDEX_FINGER_PIP_x,0_INDEX_FINGER_PIP_y,0_INDEX_FINGER_DIP_x,0_INDEX_FINGER_DIP_y,0_INDEX_FINGER_TIP_x,0_INDEX_FINGER_TIP_y,0_MIDDLE_FINGER_MCP_x,0_MIDDLE_FINGER_MCP_y,0_MIDDLE_FINGER_PIP_x,0_MIDDLE_FINGER_PIP_y,0_MIDDLE_FINGER_DIP_x,0_MIDDLE_FINGER_DIP_y,0_MIDDLE_FINGER_TIP_x,0_MIDDLE_FINGER_TIP_y,0_RING_FINGER_MCP_x,0_RING_FINGER_MCP_y,0_RING_FINGER_PIP_x,0_RING_FINGER_PIP_y,0_RING_FINGER_DIP_x,0_RING_FINGER_DIP_y,0_RING_FINGER_TIP_x,0_RING_FINGER_TIP_y,0_PINKY_MCP_x,0_PINKY_MCP_y,0_PINKY_PIP_x,0_PINKY_PIP_y,0_PINKY_DIP_x,0_PINKY_DIP_y,0_PINKY_TIP_x,0_PINKY_TIP_y,label
82,0.0,0.0,-71.3702392578125,-27.420988082885746,-132.96579360961914,-91.41969680786131,-179.6623992919922,-142.8452110290527,-227.6784706115723,-171.98919296264648,-94.29752349853516,-194.5986843109131,-121.7508316040039,-269.668550491333,-139.6375274658203,-320.0389337539673,-151.55183792114258,-363.8008832931519,-43.468017578125,-210.1832914352417,-47.88188934326172,-303.56154441833496,-50.4150390625,-365.3194856643677,-52.2119140625,-416.6975927352905,5.628509521484375,-202.65938758850095,13.504753112792969,-289.9581241607666,18.21125030517578,-345.34788608551025,21.451377868652344,-395.478458404541,53.83113861083984,-176.8235206604004,94.24232482910156,-227.90890216827395,120.14625549316406,-265.4292726516724,141.6690444946289,-301.9609594345093,0
83,0.0,0.0,-69.66537475585938,-28.149118423461918,-129.70487594604492,-89.49465751647949,-175.51191329956055,-139.2403221130371,-223.10333251953125,-167.5162696838379,-93.23558807373048,-192.07004070281985,-120.00717163085938,-265.31195640563965,-137.70305633544922,-314.0952587127685,-149.23744201660156,-356.897292137146,-43.59619140625,-206.5759563446045,-47.91389465332031,-297.0981502532959,-49.33483123779297,-355.92976570129395,-49.42096710205078,-405.2773761749268,3.932647705078125,-198.45738887786865,12.120361328125,-284.0356922149658,17.918701171875,-338.1146478652954,22.12371826171875,-387.122540473938,50.44967651367188,-172.86355018615723,86.94343566894531,-222.91668891906735,110.71731567382812,-259.0317392349243,130.14434814453125,-294.1133737564087,0
84,0.0,0.0,-66.82403564453125,-27.48255729675293,-126.51847839355467,-87.61894226074219,-171.8450927734375,-135.76987266540527,-217.66176223754883,-164.0358924865723,-91.25747680664062,-189.5490789413452,-117.40528106689452,-261.3159656524658,-135.14537811279297,-308.0428218841553,-147.3556900024414,-348.7626600265503,-42.9205322265625,-202.60992050170896,-46.98902130126953,-290.6660270690918,-48.56891632080078,-347.76925563812256,-49.289588928222656,-395.3080129623413,3.680610656738281,-193.72621536254883,12.115325927734377,-277.1811103820801,17.664260864257812,-329.7076463699341,21.807861328125,-377.1651792526245,48.73271942138672,-167.4239730834961,85.84243774414062,-214.84253883361816,109.4023895263672,-249.5162057876587,128.62548828125,-283.4666919708252,0
85,0.0,0.0,-65.528564453125,-26.455135345458984,-124.86190795898438,-85.76748847961426,-169.09767150878906,-132.69352912902832,-213.2950782775879,-160.4560375213623,-89.40532684326172,-184.32952880859372,-114.8996353149414,-254.4828701019287,-132.1963882446289,-300.05857944488525,-144.1965293884277,-339.32467460632324,-42.48298645019531,-197.8439712524414,-46.01016998291016,-285.13601303100586,-47.7386474609375,-342.4966764450073,-48.59748840332031,-388.9795017242432,2.804756164550781,-189.8358678817749,11.265869140625,-271.29733085632324,16.407394409179688,-322.9659032821655,20.20912170410156,-368.62149238586426,46.422462463378906,-164.4785499572754,82.09209442138672,-209.7867107391357,104.33609008789062,-242.99938201904297,122.4631118774414,-274.8368453979492,0
86,0.0,0.0,-63.495025634765625,-25.36571502685547,-121.54193878173828,-83.46857070922852,-164.48062896728516,-129.7292518615723,-208.21216583251956,-158.2277870178223,-86.99699401855469,-180.059552192688,-113.49700927734376,-248.9137601852417,-131.3079833984375,-293.82755756378174,-143.88784408569336,-332.5454807281494,-41.44618988037109,-193.2673072814941,-45.75153350830078,-278.0574989318848,-47.08805084228516,-332.8752279281616,-47.665557861328125,-377.5845193862915,2.4184799194335938,-185.21125316619876,10.252799987792969,-265.97936153411865,15.18268585205078,-316.4330005645752,18.35094451904297,-361.3537502288818,44.792518615722656,-160.0858211517334,79.25029754638672,-204.2860507965088,100.89149475097656,-236.17916107177732,117.59635925292967,-267.10015296936035,0
87,0.0,0.0,-63.25801849365234,-24.67909812927246,-120.45644760131836,-82.26390838623047,-161.63921356201172,-128.04925918579102,-204.04720306396484,-156.17823600769043,-86.48765563964844,-175.6486988067627,-112.92869567871094,-242.06439971923828,-130.8707046508789,-285.6365203857422,-143.5045623779297,-323.5303544998169,-41.7401123046875,-188.6209201812744,-47.154579162597656,-270.52056312561035,-49.13368225097656,-324.7489786148072,-49.75017547607422,-369.5610809326172,1.4293289184570312,-180.72980403900144,7.957687377929687,-257.667031288147,12.093582153320312,-307.6101064682007,14.707756042480469,-352.7211570739746,43.071136474609375,-156.50221824645996,74.72663879394531,-200.1589107513428,94.65007781982422,-232.1250915527344,110.14266967773438,-263.59724521636963,0
88,0.0,0.0,-61.97067260742188,-23.679170608520508,-117.90916442871094,-78.98371696472168,-158.34381103515625,-124.10107612609865,-199.51900482177732,-152.55772590637207,-84.5635986328125,-171.9984483718872,-111.24759674072266,-238.1517791748047,-128.67525100708008,-280.6654357910156,-140.77444076538086,-317.92104721069336,-41.0101318359375,-184.8858976364136,-45.91686248779297,-265.13440132141113,-48.20243835449219,-317.37324714660645,-49.45030212402344,-360.2299833297729,0.9859085083007812,-177.53531455993652,7.920417785644531,-253.32578659057617,11.2530517578125,-301.5949058532715,13.193740844726562,-344.58812713623047,41.22856140136719,-153.99310111999512,73.1589126586914,-197.36648082733157,92.80941009521484,-229.09598350524905,108.08032989501952,-259.8675298690796,0
89,0.0,0.0,-60.92330932617188,-23.79066467285156,-115.88180541992188,-78.87465476989746,-155.10894775390625,-122.46465682983398,-195.2944564819336,-147.6445484161377,-82.14744567871094,-167.19250202178955,-108.11359405517578,-230.8791875839233,-124.92259979248048,-272.4202251434326,-136.86683654785156,-308.57186794281006,-39.3056869506836,-179.60274696350098,-43.85555267333984,-257.5811433792114,-46.40533447265625,-308.86091709136963,-48.25275421142578,-350.81329822540283,1.3471221923828125,-172.2245979309082,8.3685302734375,-244.5764923095703,11.229591369628906,-291.958966255188,12.035408020019531,-333.99149894714355,39.91279602050781,-149.32376861572266,69.58477020263672,-190.4014492034912,87.21027374267578,-220.84609508514404,100.27156829833984,-250.42362213134768,0
90,0.0,0.0,-59.931297302246094,-23.060874938964844,-112.75209426879884,-75.53220748901367,-151.33766174316406,-118.2242488861084,-191.07501983642575,-143.44840049743652,-80.28549194335938,-161.97260856628418,-105.34385681152344,-224.58858489990237,-121.06637954711914,-265.12590408325195,-132.0406723022461,-300.7189893722534,-39.33666229248047,-173.99753093719482,-44.00318145751953,-250.34093856811523,-46.63875579833984,-300.41333198547363,-48.34999084472656,-341.2712001800537,0.017852783203125,-166.55683994293213,6.9435882568359375,-237.7250289916992,9.803314208984377,-283.90312671661377,11.489486694335938,-324.810848236084,37.504844665527344,-143.8209056854248,67.7511215209961,-183.6487627029419,86.20468139648438,-214.08419609069824,100.90492248535156,-243.6434268951416,0
91,0.0,0.0,-58.22395324707031,-23.096895217895508,-109.02061462402344,-74.80862617492676,-145.91712951660156,-116.65812492370604,-183.94195556640625,-141.4380168914795,-75.8333969116211,-158.75345706939697,-100.2997589111328,-218.15646171569824,-115.6595230102539,-257.0314693450928,-126.44155502319336,-291.0010528564453,-36.01448059082031,-170.37989616394043,-39.880409240722656,-244.56456184387207,-42.40589141845703,-293.28153133392334,-44.24850463867188,-332.6284074783325,2.281036376953125,-162.9569435119629,9.219818115234377,-231.66933059692383,12.3455810546875,-276.20306968688965,14.496841430664062,-315.22406101226807,38.55918884277344,-140.20471572875977,67.8546142578125,-178.67387294769287,86.11480712890625,-207.84825325012207,100.86624145507812,-235.7309103012085,0
